City_ID,City,Country,Max Temp,current Description,Lat,Lng,Hotel Name
326,Alice Town,BS,77.11,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
330,Vao,NC,77.95,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
336,Butaritari,KI,81.79,light rain,3.0707,172.7902,Isles Sunset Lodge
341,Alofi,NU,76.23,light rain,-19.0595,-169.9187,Taloa Heights
343,Liwale,TZ,76.44,broken clouds,-9.7667,37.9333,Samoma lodge
348,Atar,MR,82.96,broken clouds,20.5169,-13.0499,Oumou Elghoura
349,Aripuana,BR,83.16,overcast clouds,-9.1667,-60.6333,
350,Lake Charles,US,80.58,overcast clouds,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
351,Catamarca,AR,79.05,overcast clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
354,Hithadhoo,MV,81.5,overcast clouds,-0.6,73.0833,Scoop Guest House
356,Hobyo,SO,78.89,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
358,Mokolo,CM,76.82,scattered clouds,10.7398,13.8019,Diwa Hôtel
361,Rawson,AR,81.72,clear sky,-43.3002,-65.1023,Hosteria Sampedro
362,Sao Filipe,CV,76.46,few clouds,14.8961,-24.4956,Hotel Xaguate
364,Tshane,BW,81.34,light rain,-24.0196,21.8684,
367,Mahajanga,MG,82.42,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
368,Iracoubo,GF,77.97,moderate rain,5.4802,-53.2011,Le Gîte d’Iracoubo
381,Palmas Bellas,PA,89.51,clear sky,9.2319,-80.0867,Estación de Chagres
386,Beira,MZ,82.49,few clouds,-19.8436,34.8389,Beira Terrace Hotel
389,Mahibadhoo,MV,80.89,overcast clouds,3.7833,72.9667,Omadhoo Inn
390,Kilindoni,TZ,81.14,clear sky,-7.9139,39.6668,Bustani B&B
391,Vanimo,PG,79.56,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
392,Voh,NC,78.4,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
399,Kudahuvadhoo,MV,82.17,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
400,Kuah,MY,80.58,few clouds,6.3265,99.8432,Azio Hotel
402,Belmonte,BR,77.0,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
407,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
410,Bandarbeyla,SO,77.05,clear sky,9.4942,50.8122,JABIR HOTEL
412,Thinadhoo,MV,81.41,overcast clouds,0.5333,72.9333,
413,Yambio,SS,81.03,broken clouds,4.5721,28.3955,Naivasha Hotel
414,Mosetse,BW,82.0,broken clouds,-20.75,26.65,
