City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,current Description
258,Kargil,IN,34.5667,76.1,5.34,66,2,3.15,clear sky
259,Hovd,MN,48.0056,91.6419,7.99,66,0,0.78,clear sky
260,Gawler,AU,-34.6,138.7333,58.24,75,12,3.42,few clouds
261,Manzhouli,CN,49.6,117.4333,5.18,80,37,11.12,scattered clouds
262,Adrar,MR,20.5022,-10.0711,77.14,9,96,10.54,overcast clouds
263,Margate,GB,51.3813,1.3862,43.3,78,81,7.0,broken clouds
264,Mackay,AU,-21.15,149.2,73.04,81,3,6.55,clear sky
265,Port-Gentil,GA,-0.7193,8.7815,81.93,74,48,5.08,light rain
266,Katsuura,JP,35.1333,140.3,44.71,77,6,6.4,clear sky
267,Lompoc,US,34.6391,-120.4579,57.78,70,1,6.91,clear sky
268,Asau,RO,46.4333,26.4,40.28,80,100,2.33,light rain
269,Russell,US,32.3502,-85.1999,65.48,97,90,0.0,mist
270,Baykit,RU,61.67,96.37,-21.24,100,48,3.09,scattered clouds
271,San Policarpo,PH,12.1791,125.5072,79.9,87,100,12.91,overcast clouds
272,Progreso,MX,21.2833,-89.6667,87.12,56,10,7.78,clear sky
273,Uchaly,RU,54.2996,59.4521,13.19,88,100,2.8,overcast clouds
274,Cap Malheureux,MU,-19.9842,57.6142,79.29,70,99,3.0,overcast clouds
275,Fuzhou,CN,26.0614,119.3061,62.49,79,74,2.84,broken clouds
276,Ancud,CL,-41.8697,-73.8203,71.42,65,48,8.66,scattered clouds
277,Bathsheba,BB,13.2167,-59.5167,84.81,61,40,19.57,scattered clouds
278,Clyde River,CA,70.4692,-68.5914,-14.75,91,94,4.03,overcast clouds
279,Te Anau,NZ,-45.4167,167.7167,48.63,88,100,2.66,overcast clouds
280,Faanui,PF,-16.4833,-151.75,81.12,66,90,15.59,overcast clouds
281,Torbay,CA,47.6666,-52.7314,29.57,80,85,8.01,overcast clouds
282,Nipawin,CA,53.3668,-104.0009,14.04,79,90,10.36,overcast clouds
283,Novotroitskaya,RU,45.3267,41.5253,44.55,80,7,5.84,clear sky
284,Shenjiamen,CN,29.9576,122.298,55.99,73,0,5.99,clear sky
285,Kodiak,US,57.79,-152.4072,27.91,50,90,9.22,overcast clouds
286,Heron,BE,50.5473,5.0977,36.77,97,100,7.81,light snow
287,Inta,RU,66.0317,60.1659,5.2,95,100,15.23,light snow
288,Arona,ES,28.0996,-16.681,63.12,64,20,28.77,few clouds
289,Anadyr,RU,64.75,177.4833,-14.3,76,75,11.18,mist
290,Iqaluit,CA,63.7506,-68.5145,-8.07,100,76,12.64,broken clouds
291,Arman,RU,59.7,150.1667,6.06,87,96,5.5,overcast clouds
292,Altay,CN,47.8667,88.1167,3.07,65,4,6.49,clear sky
293,Leningradskiy,RU,69.3833,178.4167,-19.12,87,97,19.06,overcast clouds
294,Pacific Grove,US,36.6177,-121.9166,51.1,86,1,1.01,clear sky
295,Skala Fourkas,GR,39.9998,23.3841,54.54,58,38,19.62,scattered clouds
296,Plettenberg Bay,ZA,-34.0527,23.3716,69.55,87,71,1.99,broken clouds
297,Kahului,US,20.8947,-156.47,75.85,87,20,6.91,few clouds
298,Matara,LK,5.9485,80.5353,76.68,87,83,8.99,broken clouds
299,Apatity,RU,67.5641,33.4031,8.58,88,100,4.23,overcast clouds
300,Tiksi,RU,71.6872,128.8694,-4.27,93,100,10.56,overcast clouds
301,Sarangani,PH,5.4033,125.4636,83.05,77,66,13.27,light rain
302,Shar,KZ,49.5886,81.0453,2.28,77,9,11.18,clear sky
303,Kristiansund,NO,63.1115,7.732,32.65,64,0,4.61,clear sky
304,Saint-Augustin,CA,51.226,-58.6502,18.93,43,0,12.37,clear sky
305,Samarai,PG,-10.6167,150.6667,81.3,80,93,16.33,overcast clouds
306,Acapulco,MX,16.8634,-99.8901,84.02,74,40,9.22,scattered clouds
